Seat,Winner,Year
AL01,R,2018
AL02,R,2018
AL03,R,2018
AL04,R,2018
AL05,R,2018
AL06,R,2018
AL07,D,2018
AK01,R,2018
AZ01,D,2018
AZ02,D,2018
AZ03,D,2018
AZ04,R,2018
AZ05,R,2018
AZ06,R,2018
AZ07,D,2018
AZ08,R,2018
AZ09,D,2018
AR01,R,2018
AR02,R,2018
AR03,R,2018
AR04,R,2018
CA01,R,2018
CA02,D,2018
CA03,D,2018
CA04,R,2018
CA05,D,2018
CA06,D,2018
CA07,D,2018
CA08,R,2018
CA09,D,2018
CA10,D,2018
CA11,D,2018
CA12,D,2018
CA13,D,2018
CA14,D,2018
CA15,D,2018
CA16,D,2018
CA17,D,2018
CA18,D,2018
CA19,D,2018
CA20,D,2018
CA21,D,2018
CA22,R,2018
CA23,R,2018
CA24,D,2018
CA25,D,2018
CA26,D,2018
CA27,D,2018
CA28,D,2018
CA29,D,2018
CA30,D,2018
CA31,D,2018
CA32,D,2018
CA33,D,2018
CA34,D,2018
CA35,D,2018
CA36,D,2018
CA37,D,2018
CA38,D,2018
CA39,D,2018
CA40,D,2018
CA41,D,2018
CA42,R,2018
CA43,D,2018
CA44,D,2018
CA45,D,2018
CA46,D,2018
CA47,D,2018
CA48,D,2018
CA49,D,2018
CA50,R,2018
CA51,D,2018
CA52,D,2018
CA53,D,2018
CO01,D,2018
CO02,D,2018
CO03,R,2018
CO04,R,2018
CO05,R,2018
CO06,D,2018
CO07,D,2018
CT01,D,2018
CT02,D,2018
CT03,D,2018
CT04,D,2018
CT05,D,2018
DE01,D,2018
FL01,R,2018
FL02,R,2018
FL03,R,2018
FL04,R,2018
FL05,D,2018
FL06,R,2018
FL07,D,2018
FL08,R,2018
FL09,D,2018
FL10,D,2018
FL11,R,2018
FL12,R,2018
FL13,D,2018
FL14,D,2018
FL15,R,2018
FL16,R,2018
FL17,R,2018
FL18,R,2018
FL19,R,2018
FL20,D,2018
FL21,D,2018
FL22,D,2018
FL23,D,2018
FL24,D,2018
FL25,R,2018
FL26,D,2018
FL27,D,2018
GA01,R,2018
GA02,D,2018
GA03,R,2018
GA04,D,2018
GA05,D,2018
GA06,D,2018
GA07,R,2018
GA08,R,2018
GA09,R,2018
GA10,R,2018
GA11,R,2018
GA12,R,2018
GA13,D,2018
GA14,R,2018
HI01,D,2018
HI02,D,2018
ID01,R,2018
ID02,R,2018
IL01,D,2018
IL02,D,2018
IL03,D,2018
IL04,D,2018
IL05,D,2018
IL06,D,2018
IL07,D,2018
IL08,D,2018
IL09,D,2018
IL10,D,2018
IL11,D,2018
IL12,R,2018
IL13,R,2018
IL14,D,2018
IL15,R,2018
IL16,R,2018
IL17,D,2018
IL18,R,2018
IN01,D,2018
IN02,R,2018
IN03,R,2018
IN04,R,2018
IN05,R,2018
IN06,R,2018
IN07,D,2018
IN08,R,2018
IN09,R,2018
IA01,D,2018
IA02,D,2018
IA03,D,2018
IA04,R,2018
KS01,R,2018
KS02,R,2018
KS03,D,2018
KS04,R,2018
KY01,R,2018
KY02,R,2018
KY03,D,2018
KY04,R,2018
KY05,R,2018
KY06,R,2018
LA01,R,2018
LA02,D,2018
LA03,R,2018
LA04,R,2018
LA05,R,2018
LA06,R,2018
ME01,D,2018
ME02,D,2018
MD01,R,2018
MD02,D,2018
MD03,D,2018
MD04,D,2018
MD05,D,2018
MD06,D,2018
MD07,D,2018
MD08,D,2018
MA01,D,2018
MA02,D,2018
MA03,D,2018
MA04,D,2018
MA05,D,2018
MA06,D,2018
MA07,D,2018
MA08,D,2018
MA09,D,2018
MI01,R,2018
MI02,R,2018
MI03,R,2018
MI04,R,2018
MI05,D,2018
MI06,R,2018
MI07,R,2018
MI08,D,2018
MI09,D,2018
MI10,R,2018
MI11,D,2018
MI12,D,2018
MI13,D,2018
MI14,D,2018
MN01,R,2018
MN02,D,2018
MN03,D,2018
MN04,D,2018
MN05,D,2018
MN06,R,2018
MN07,D,2018
MN08,R,2018
MS01,R,2018
MS02,D,2018
MS03,R,2018
MS04,R,2018
MO01,D,2018
MO02,R,2018
MO03,R,2018
MO04,R,2018
MO05,D,2018
MO06,R,2018
MO07,R,2018
MO08,R,2018
MT01,R,2018
NE01,R,2018
NE02,R,2018
NE03,R,2018
NV01,D,2018
NV02,R,2018
NV03,D,2018
NV04,D,2018
NH01,D,2018
NH02,D,2018
NJ01,D,2018
NJ02,D,2018
NJ03,D,2018
NJ04,R,2018
NJ05,D,2018
NJ06,D,2018
NJ07,D,2018
NJ08,D,2018
NJ09,D,2018
NJ10,D,2018
NJ11,D,2018
NJ12,D,2018
NM01,D,2018
NM02,D,2018
NM03,D,2018
NY01,D,2018
NY02,R,2018
NY03,D,2018
NY04,D,2018
NY05,D,2018
NY06,D,2018
NY07,D,2018
NY08,D,2018
NY09,D,2018
NY10,D,2018
NY11,D,2018
NY12,D,2018
NY13,D,2018
NY14,D,2018
NY15,D,2018
NY16,D,2018
NY17,D,2018
NY18,D,2018
NY19,D,2018
NY20,D,2018
NY21,R,2018
NY22,D,2018
NY23,R,2018
NY24,D,2018
NY25,D,2018
NY26,D,2018
NY27,D,2018
NC01,D,2018
NC02,R,2018
NC03,R,2018
NC04,D,2018
NC05,R,2018
NC06,R,2018
NC07,R,2018
NC08,R,2018
NC09,R,2018
NC10,R,2018
NC11,R,2018
NC12,D,2018
NC13,R,2018
ND01,R,2018
OH01,R,2018
OH02,R,2018
OH03,D,2018
OH04,R,2018
OH05,R,2018
OH06,R,2018
OH07,R,2018
OH08,R,2018
OH09,D,2018
OH10,R,2018
OH11,D,2018
OH12,R,2018
OH13,D,2018
OH14,R,2018
OH15,R,2018
OH16,R,2018
OK01,R,2018
OK02,R,2018
OK03,R,2018
OK04,R,2018
OK05,D,2018
OR01,D,2018
OR02,R,2018
OR03,D,2018
OR04,D,2018
OR05,D,2018
PA01,R,2018
PA02,D,2018
PA03,D,2018
PA04,D,2018
PA05,D,2018
PA06,D,2018
PA07,D,2018
PA08,D,2018
PA09,R,2018
PA10,R,2018
PA11,R,2018
PA12,R,2018
PA13,R,2018
PA14,R,2018
PA15,R,2018
PA16,R,2018
PA17,D,2018
PA18,D,2018
RI01,D,2018
RI02,D,2018
SC01,D,2018
SC02,R,2018
SC03,R,2018
SC04,R,2018
SC05,R,2018
SC06,D,2018
SC07,R,2018
SD01,R,2018
TN01,R,2018
TN02,R,2018
TN03,R,2018
TN04,R,2018
TN05,D,2018
TN06,R,2018
TN07,R,2018
TN08,R,2018
TN09,D,2018
TX01,R,2018
TX02,R,2018
TX03,R,2018
TX04,R,2018
TX05,R,2018
TX06,R,2018
TX07,D,2018
TX08,R,2018
TX09,D,2018
TX10,R,2018
TX11,R,2018
TX12,R,2018
TX13,R,2018
TX14,R,2018
TX15,D,2018
TX16,D,2018
TX17,R,2018
TX18,D,2018
TX19,R,2018
TX20,D,2018
TX21,R,2018
TX22,R,2018
TX23,R,2018
TX24,R,2018
TX25,R,2018
TX26,R,2018
TX27,R,2018
TX28,D,2018
TX29,D,2018
TX30,D,2018
TX31,R,2018
TX32,D,2018
TX33,D,2018
TX34,D,2018
TX35,D,2018
TX36,R,2018
UT01,R,2018
UT02,R,2018
UT03,R,2018
UT04,D,2018
VT01,D,2018
VA01,R,2018
VA02,D,2018
VA03,D,2018
VA04,D,2018
VA05,R,2018
VA06,R,2018
VA07,D,2018
VA08,D,2018
VA09,R,2018
VA10,D,2018
VA11,D,2018
WA01,D,2018
WA02,D,2018
WA03,R,2018
WA04,R,2018
WA05,R,2018
WA06,D,2018
WA07,D,2018
WA08,D,2018
WA09,D,2018
WA10,D,2018
WV01,R,2018
WV02,R,2018
WV03,R,2018
WI01,R,2018
WI02,D,2018
WI03,D,2018
WI04,D,2018
WI05,R,2018
WI06,R,2018
WI07,R,2018
WI08,R,2018
WY01,R,2018
AL01,R,2020
AL02,R,2020
AL03,R,2020
AL04,R,2020
AL05,R,2020
AL06,R,2020
AL07,D,2020
AK01,R,2020
AZ01,D,2020
AZ02,D,2020
AZ03,D,2020
AZ04,R,2020
AZ05,R,2020
AZ06,R,2020
AZ07,D,2020
AZ08,R,2020
AZ09,D,2020
AR01,R,2020
AR02,R,2020
AR03,R,2020
AR04,R,2020
CA01,R,2020
CA02,D,2020
CA03,D,2020
CA04,R,2020
CA05,D,2020
CA06,D,2020
CA07,D,2020
CA08,R,2020
CA09,D,2020
CA10,D,2020
CA11,D,2020
CA12,D,2020
CA13,D,2020
CA14,D,2020
CA15,D,2020
CA16,D,2020
CA17,D,2020
CA18,D,2020
CA19,D,2020
CA20,D,2020
CA21,R,2020
CA22,R,2020
CA23,R,2020
CA24,D,2020
CA25,R,2020
CA26,D,2020
CA27,D,2020
CA28,D,2020
CA29,D,2020
CA30,D,2020
CA31,D,2020
CA32,D,2020
CA33,D,2020
CA34,D,2020
CA35,D,2020
CA36,D,2020
CA37,D,2020
CA38,D,2020
CA39,R,2020
CA40,D,2020
CA41,D,2020
CA42,R,2020
CA43,D,2020
CA44,D,2020
CA45,D,2020
CA46,D,2020
CA47,D,2020
CA48,R,2020
CA49,D,2020
CA50,R,2020
CA51,D,2020
CA52,D,2020
CA53,D,2020
CO01,D,2020
CO02,D,2020
CO03,R,2020
CO04,R,2020
CO05,R,2020
CO06,D,2020
CO07,D,2020
CT01,D,2020
CT02,D,2020
CT03,D,2020
CT04,D,2020
CT05,D,2020
DE01,D,2020
FL01,R,2020
FL02,R,2020
FL03,R,2020
FL04,R,2020
FL05,D,2020
FL06,R,2020
FL07,D,2020
FL08,R,2020
FL09,D,2020
FL10,D,2020
FL11,R,2020
FL12,R,2020
FL13,D,2020
FL14,D,2020
FL15,R,2020
FL16,R,2020
FL17,R,2020
FL18,R,2020
FL19,R,2020
FL20,D,2020
FL21,D,2020
FL22,D,2020
FL23,D,2020
FL24,D,2020
FL25,R,2020
FL26,R,2020
FL27,R,2020
GA01,R,2020
GA02,D,2020
GA03,R,2020
GA04,D,2020
GA05,D,2020
GA06,D,2020
GA07,D,2020
GA08,R,2020
GA09,R,2020
GA10,R,2020
GA11,R,2020
GA12,R,2020
GA13,D,2020
GA14,R,2020
HI01,D,2020
HI02,D,2020
ID01,R,2020
ID02,R,2020
IL01,D,2020
IL02,D,2020
IL03,D,2020
IL04,D,2020
IL05,D,2020
IL06,D,2020
IL07,D,2020
IL08,D,2020
IL09,D,2020
IL10,D,2020
IL11,D,2020
IL12,R,2020
IL13,R,2020
IL14,D,2020
IL15,R,2020
IL16,R,2020
IL17,D,2020
IL18,R,2020
IN01,D,2020
IN02,R,2020
IN03,R,2020
IN04,R,2020
IN05,R,2020
IN06,R,2020
IN07,D,2020
IN08,R,2020
IN09,R,2020
IA01,R,2020
IA02,R,2020
IA03,D,2020
IA04,R,2020
KS01,R,2020
KS02,R,2020
KS03,D,2020
KS04,R,2020
KY01,R,2020
KY02,R,2020
KY03,D,2020
KY04,R,2020
KY05,R,2020
KY06,R,2020
LA01,R,2020
LA02,D,2020
LA03,R,2020
LA04,R,2020
LA05,R,2020
LA06,R,2020
ME01,D,2020
ME02,D,2020
MD01,R,2020
MD02,D,2020
MD03,D,2020
MD04,D,2020
MD05,D,2020
MD06,D,2020
MD07,D,2020
MD08,D,2020
MA01,D,2020
MA02,D,2020
MA03,D,2020
MA04,D,2020
MA05,D,2020
MA06,D,2020
MA07,D,2020
MA08,D,2020
MA09,D,2020
MI01,R,2020
MI02,R,2020
MI03,R,2020
MI04,R,2020
MI05,D,2020
MI06,R,2020
MI07,R,2020
MI08,D,2020
MI09,D,2020
MI10,R,2020
MI11,D,2020
MI12,D,2020
MI13,D,2020
MI14,D,2020
MN01,R,2020
MN02,D,2020
MN03,D,2020
MN04,D,2020
MN05,D,2020
MN06,R,2020
MN07,R,2020
MN08,R,2020
MS01,R,2020
MS02,D,2020
MS03,R,2020
MS04,R,2020
MO01,D,2020
MO02,R,2020
MO03,R,2020
MO04,R,2020
MO05,D,2020
MO06,R,2020
MO07,R,2020
MO08,R,2020
MT01,R,2020
NE01,R,2020
NE02,R,2020
NE03,R,2020
NV01,D,2020
NV02,R,2020
NV03,D,2020
NV04,D,2020
NH01,D,2020
NH02,D,2020
NJ01,D,2020
NJ02,R,2020
NJ03,D,2020
NJ04,R,2020
NJ05,D,2020
NJ06,D,2020
NJ07,D,2020
NJ08,D,2020
NJ09,D,2020
NJ10,D,2020
NJ11,D,2020
NJ12,D,2020
NM01,D,2020
NM02,R,2020
NM03,D,2020
NY01,R,2020
NY02,R,2020
NY03,D,2020
NY04,D,2020
NY05,D,2020
NY06,D,2020
NY07,D,2020
NY08,D,2020
NY09,D,2020
NY10,D,2020
NY11,R,2020
NY12,D,2020
NY13,D,2020
NY14,D,2020
NY15,D,2020
NY16,D,2020
NY17,D,2020
NY18,D,2020
NY19,D,2020
NY20,D,2020
NY21,R,2020
NY22,R,2020
NY23,R,2020
NY24,R,2020
NY25,D,2020
NY26,D,2020
NY27,R,2020
NC01,D,2020
NC02,D,2020
NC03,R,2020
NC04,D,2020
NC05,R,2020
NC06,D,2020
NC07,R,2020
NC08,R,2020
NC09,R,2020
NC10,R,2020
NC11,R,2020
NC12,D,2020
NC13,R,2020
ND01,R,2020
OH01,R,2020
OH02,R,2020
OH03,D,2020
OH04,R,2020
OH05,R,2020
OH06,R,2020
OH07,R,2020
OH08,R,2020
OH09,D,2020
OH10,R,2020
OH11,D,2020
OH12,R,2020
OH13,D,2020
OH14,R,2020
OH15,R,2020
OH16,R,2020
OK01,R,2020
OK02,R,2020
OK03,R,2020
OK04,R,2020
OK05,R,2020
OR01,D,2020
OR02,R,2020
OR03,D,2020
OR04,D,2020
OR05,D,2020
PA01,R,2020
PA02,D,2020
PA03,D,2020
PA04,D,2020
PA05,D,2020
PA06,D,2020
PA07,D,2020
PA08,D,2020
PA09,R,2020
PA10,R,2020
PA11,R,2020
PA12,R,2020
PA13,R,2020
PA14,R,2020
PA15,R,2020
PA16,R,2020
PA17,D,2020
PA18,D,2020
RI01,D,2020
RI02,D,2020
SC01,R,2020
SC02,R,2020
SC03,R,2020
SC04,R,2020
SC05,R,2020
SC06,D,2020
SC07,R,2020
SD01,R,2020
TN01,R,2020
TN02,R,2020
TN03,R,2020
TN04,R,2020
TN05,D,2020
TN06,R,2020
TN07,R,2020
TN08,R,2020
TN09,D,2020
TX01,R,2020
TX02,R,2020
TX03,R,2020
TX04,R,2020
TX05,R,2020
TX06,R,2020
TX07,D,2020
TX08,R,2020
TX09,D,2020
TX10,R,2020
TX11,R,2020
TX12,R,2020
TX13,R,2020
TX14,R,2020
TX15,D,2020
TX16,D,2020
TX17,R,2020
TX18,D,2020
TX19,R,2020
TX20,D,2020
TX21,R,2020
TX22,R,2020
TX23,R,2020
TX24,R,2020
TX25,R,2020
TX26,R,2020
TX27,R,2020
TX28,D,2020
TX29,D,2020
TX30,D,2020
TX31,R,2020
TX32,D,2020
TX33,D,2020
TX34,D,2020
TX35,D,2020
TX36,R,2020
UT01,R,2020
UT02,R,2020
UT03,R,2020
UT04,R,2020
VT01,D,2020
VA01,R,2020
VA02,D,2020
VA03,D,2020
VA04,D,2020
VA05,R,2020
VA06,R,2020
VA07,D,2020
VA08,D,2020
VA09,R,2020
VA10,D,2020
VA11,D,2020
WA01,D,2020
WA02,D,2020
WA03,R,2020
WA04,R,2020
WA05,R,2020
WA06,D,2020
WA07,D,2020
WA08,D,2020
WA09,D,2020
WA10,D,2020
WV01,R,2020
WV02,R,2020
WV03,R,2020
WI01,R,2020
WI02,D,2020
WI03,D,2020
WI04,D,2020
WI05,R,2020
WI06,R,2020
WI07,R,2020
WI08,R,2020
WY01,R,2020
DC01,D,2020
