Seat,Candidate,Party,Amount_Raised,Percent_Raised,Amount_Spent,Percent_Spent,Percent_Votes,Votes,Winner,Incumbent
IL11,Bill Foster ,dem,"$2,381,354",99.15297392,"$1,823,906",98.91191288,63.3,"194,557",Y,Y
IL11,Rick Laib ,gop,"$20,343",0.847026082,"$20,064",1.088087116,36.7,"112,807",N,N
IL12,Mike Bost ,gop,"$1,918,041",92.24166993,"$1,509,573",93.50779431,60.4,"194,839",Y,Y
IL12,Ray Lenzi ,dem,"$161,324",7.758330067,"$104,809",6.492205686,39.6,"127,577",N,N
IL13,Rodney Davis ,gop,"$4,943,459",48.27376996,"$4,822,600",47.7273447,54.5,"181,373",Y,Y
IL13,Betsy Dirksen Londrigan ,dem,"$5,297,007",51.72623004,"$5,281,880",52.2726553,45.5,"151,648",N,N
IL14,Lauren A Underwood ,dem,"$7,803,579",76.18870159,"$7,301,503",75.66088353,50.7,"203,209",Y,Y
IL14,Jim Oberweis ,gop,"$2,438,857",23.81129841,"$2,348,798",24.33911647,49.3,"197,835",N,N
IL15,Mary Miller ,gop,"$689,057",92.15121178,"$570,356",96.06723878,73.4,"244,947",Y,N
IL15,Erika Weaver ,dem,"$58,689",7.848788225,"$23,349",3.93276122,26.6,"88,559",N,N
IL16,Adam Kinzinger ,gop,"$2,105,736",82.09241037,"$1,588,550",80.85388379,64.7,"218,839",Y,Y
IL16,Dani Brzozowski ,dem,"$459,344",17.90758963,"$376,167",19.14611621,35.3,"119,313",N,N
IL17,Cheri Bustos ,dem,"$4,975,192",70.99232742,"$6,391,009",75.88833518,52,"156,011",Y,Y
IL17,Esther Joy King ,gop,"$2,032,878",29.00767258,"$2,030,587",24.11166482,48,"143,863",N,N
IN01,Frank Mrvan Jr ,dem,"$578,635",97.21918862,"$464,407",96.80187598,56.6,"185,180",Y,N
IN01,Mark Leyva ,gop,"$16,551",2.780811377,"$15,343",3.198124023,40.4,"132,247",N,N
IN02,Jackie Walorski ,gop,"$2,383,467",72.99258427,"$1,698,202",66.19372497,61.5,"183,601",Y,Y
IN02,Pat Hackett ,dem,"$881,888",27.00741573,"$867,301",33.80627503,38.5,"114,967",N,N
IN03,Jim Banks ,gop,"$1,202,509",92.74575513,"$769,591",89.54209202,67.8,"220,989",Y,Y
IN03,Chip Coldiron ,dem,"$94,056",7.25424487,"$89,883",10.45790798,32.2,"104,762",N,N
IN04,Jim Baird ,gop,"$327,727",88.02482864,"$190,158",81.48313201,66.6,"225,531",Y,Y
IN04,Joe Mackey ,dem,"$44,585",11.97517136,"$43,213",18.51686799,33.4,"112,984",N,N
IN05,Victoria Spartz ,gop,"$3,119,328",43.75120622,"$3,010,203",42.94701979,50,"208,212",Y,N
IN05,Christina Hale ,dem,"$4,010,368",56.24879378,"$3,998,905",57.05298021,45.9,"191,226",N,N
IN06,Greg Pence ,gop,"$3,114,448",95.6074482,"$2,804,148",95.07317095,68.7,"225,318",Y,Y
IN06,Jeannine Lee Lake ,dem,"$143,089",4.392551796,"$145,315",4.926829053,27.8,"91,103",N,N
IN07,Andre Carson ,dem,"$1,011,635",94.14586707,"$873,962",93.59148859,62.4,"176,422",Y,Y
IN07,Susan Marie Smith ,gop,"$62,905",5.854132931,"$59,843",6.408511413,37.6,"106,146",N,N
IN08,Larry Bucshon ,gop,"$1,051,336",93.86341925,"$1,078,646",94.03029833,66.9,"214,643",Y,Y
IN08,Thomasina Marsili ,dem,"$68,734",6.136580749,"$68,480",5.969701672,29.8,"95,691",N,N
IN09,Trey Hollingsworth ,gop,"$1,166,754",88.7253929,"$501,136",78.78976546,60.9,"218,606",Y,Y
IN09,Andy Ruff ,dem,"$148,263",11.2746071,"$134,906",21.21023454,34.8,"124,826",N,N
IA01,Ashley Hinson ,gop,"$5,175,883",46.72503034,"$5,059,211",46.26784333,51.3,"212,088",Y,N
IA01,Abby Finkenauer ,dem,"$5,901,441",53.27496966,"$5,875,405",53.73215667,48.7,"201,347",N,Y
IA02,Mariannette Miller-Meeks ,gop,"$2,174,194",33.93368009,"$1,721,926",29.50359524,50,"196,964",Y,N
IA02,Rita Hart ,dem,"$4,232,992",66.06631991,"$4,114,400",70.49640476,50,"196,958",N,N
IA03,Cindy Axne ,dem,"$6,236,976",66.30109679,"$6,236,994",66.83752026,49,"219,205",Y,Y
IA03,David Young ,gop,"$3,170,072",33.69890321,"$3,094,582",33.16247974,47.6,"212,997",N,N
IA04,Randy Feenstra ,gop,"$1,906,234",39.77827067,"$1,894,288",39.49485133,62.1,"237,369",Y,N
IA04,J.D. Scholten ,dem,"$2,885,915",60.22172933,"$2,902,003",60.50514867,37.9,"144,761",N,N
KS01,Tracey Mann ,gop,"$1,403,353",69.94421321,"$1,127,156",65.52927771,71.2,"208,229",Y,N
KS01,Kali Barnett ,dem,"$603,036",30.05578679,"$592,924",34.47072229,28.8,"84,393",N,N
KS03,Sharice Davids ,dem,"$5,638,552",72.09563461,"$5,168,034",70.72032308,53.6,"220,049",Y,Y
KS03,Amanda Adkins ,gop,"$2,182,382",27.90436539,"$2,139,673",29.27967692,43.6,"178,773",N,N
KS04,Ron Estes ,gop,"$1,993,808",88.2892944,"$1,420,188",84.59179735,63.7,"203,432",Y,Y
KS04,Laura Lombard ,dem,"$264,459",11.7107056,"$258,684",15.40820265,36.3,"116,166",N,N
KY02,Brett Guthrie ,gop,"$1,412,797",93.79969924,"$1,566,622",95.65731885,71,"255,735",Y,Y
KY02,Hank Linderman ,dem,"$93,388",6.20030076,"$71,122",4.342681152,26.3,"94,643",N,N
KY03,John Yarmuth ,dem,"$658,295",93.44953928,"$690,226",93.79421493,62.7,"230,672",Y,Y
KY03,Rhonda Palazzo ,gop,"$46,144",6.550460721,"$45,668",6.205785072,37.3,"137,425",N,N
KY04,Thomas Massie ,gop,"$1,457,316",90.32073332,"$1,563,275",93.6298015,67.1,"256,613",Y,Y
KY04,Alexandra Owensby ,dem,"$156,174",9.679266683,"$106,359",6.370198499,32.9,"125,896",N,N
KY06,Andy Barr ,gop,"$4,536,264",60.70542666,"$4,316,239",59.51911056,57.3,"216,948",Y,Y
KY06,Josh Hicks ,dem,"$2,936,320",39.29457334,"$2,935,615",40.48088944,41,"155,011",N,N
LA04,Mike Johnson ,gop,"$1,299,787",97.4744725,"$1,039,393",96.88599925,60.4,"185,265",Y,Y
LA04,Kenny Houston ,dem,"$33,677",2.525527498,"$33,407",3.114000746,25.5,"78,157",N,N
LA05,Luke Letlow ,gop,"$1,392,822",84.73601631,"$1,303,757",81.6039032,33.1,"102,533",N,N
LA05,Candy Christophe ,dem,"$77,101",4.690643595,"$131,161",8.209543302,16.4,"50,812",N,N
LA05,Martin Lemelle ,dem,"$173,796",10.57334009,"$162,747",10.1865535,10.4,"32,186",N,N
LA06,Garret Graves ,gop,"$1,743,015",93.99697249,"$1,200,287",92.4434747,71,"265,706",Y,Y
LA06,Dartanyon Williams ,dem,"$111,316",6.003027507,"$98,114",7.556525295,25.5,"95,541",N,N
ME01,Chellie Pingree ,dem,"$487,080",85.95554693,"$264,790",79.1261135,62.2,"271,004",Y,Y
ME01,Jay Allen ,gop,"$79,585",14.04445307,"$69,853",20.8738865,37.8,"165,008",N,N
ME02,Jared Golden ,dem,"$5,272,142",81.46145202,"$5,233,990",81.39817891,53,"197,974",Y,Y
ME02,Dale Crafts ,gop,"$1,199,805",18.53854798,"$1,196,117",18.60182109,47,"175,228",N,N
MD01,Andy Harris ,gop,"$1,468,096",99.82837171,"$973,953",100,63.6,"250,901",Y,Y
MD01,Mia Mason ,dem,"$2,524",0.171628293,$0,0,36.4,"143,877",N,N
MD02,Dutch Ruppersberger ,dem,"$1,012,835",93.68083207,"$927,353",93.27179939,67.9,"224,836",Y,Y
MD02,Johnny Ray Salling ,gop,"$68,320",6.319167927,"$66,895",6.72820061,32.1,"106,355",N,N
MD03,John Sarbanes ,dem,"$573,599",98.65874781,"$687,299",99.02858765,69.9,"260,358",Y,Y
MD03,Charles Anthony ,gop,"$7,798",1.341252191,"$6,742",0.971412352,30.1,"112,117",N,N
MD05,Steny H Hoyer ,dem,"$4,587,189",99.06142786,"$4,342,255",99.03988048,68.9,"274,210",Y,Y
MD05,Chris Palombi ,gop,"$43,462",0.938572136,"$42,095",0.960119516,31.1,"123,525",N,N
MD06,David Trone ,dem,"$2,944,893",90.31117547,"$2,959,748",91.88890307,58.9,"215,540",Y,Y
MD06,Neil Parrott ,gop,"$315,936",9.688824529,"$261,259",8.111096933,39.2,"143,599",N,N
MD07,Kweisi Mfume ,dem,"$1,014,126",10.89173191,"$713,389",8.686261262,71.9,"237,084",Y,Y
MD07,Kimberly Klacik ,gop,"$8,296,845",89.10826809,"$7,499,454",91.31373874,28.1,"92,825",N,N
MD08,Jamie Raskin ,dem,"$2,072,652",98.53218022,"$1,399,252",98.08925145,68.4,"274,716",Y,Y
MD08,Gregory Coll ,gop,"$30,876",1.467819777,"$27,257",1.910748548,31.6,"127,157",N,N
MA02,James P McGovern ,dem,"$1,052,549",97.56122203,"$1,089,412",97.99241003,65.4,"249,854",Y,Y
MA02,Tracy Lovvorn ,gop,"$26,311",2.438777969,"$22,319",2.007589966,34.6,"132,220",N,N
MA04,Jake Auchincloss ,dem,"$2,608,686",95.19747735,"$2,150,904",94.32622807,61,"251,102",Y,N
MA04,Julie Hall ,gop,"$131,603",4.802522654,"$129,378",5.673771928,39,"160,474",N,N
MA05,Katherine Clark ,dem,"$1,788,706",92.32788652,"$1,514,877",91.15611587,74.4,"294,427",Y,Y
MA05,Caroline Colarusso ,gop,"$148,635",7.672113479,"$146,972",8.843884131,25.6,"101,351",N,N
MA06,Seth Moulton ,dem,"$1,289,805",81.11853587,"$1,802,169",85.76558115,65.5,"286,377",Y,Y
MA06,John Paul Moran ,gop,"$300,220",18.88146413,"$299,104",14.23441885,34.5,"150,695",N,N
MA09,Bill Keating ,dem,"$708,680",96.16874719,"$652,448",96.48985556,61.3,"260,262",Y,Y
MA09,Helen Brady ,gop,"$28,233",3.831252807,"$23,735",3.510144443,36.4,"154,261",N,N
MI01,John Bergman ,gop,"$1,868,512",84.36767545,"$1,733,466",83.61088415,61.6,"256,581",Y,Y
MI01,Dana Ferguson ,dem,"$346,213",15.63232455,"$339,788",16.38911585,36.8,"153,328",N,N
MI02,Bill Huizenga ,gop,"$2,175,411",74.32253713,"$1,883,610",73.76656273,59.2,"238,711",Y,Y
MI02,Bryan Berghoef ,dem,"$751,576",25.67746287,"$669,864",26.23343727,38.2,"154,122",N,N
MI03,Peter Meijer ,gop,"$2,975,972",43.96404605,"$2,887,774",43.40092063,53,"213,649",Y,N
MI03,Hillary Scholten ,dem,"$3,793,132",56.03595395,"$3,765,942",56.59907937,47,"189,769",N,N
MI04,John Moolenaar ,gop,"$1,528,612",98.51024245,"$1,036,160",97.77280392,65,"242,621",Y,Y
MI04,Jerry Hilliard ,dem,"$23,117",1.489757554,"$23,603",2.227196081,32.4,"120,802",N,N
MI05,Dan Kildee ,dem,"$1,669,951",95.91592923,"$1,504,094",95.48590655,54.5,"196,599",Y,Y
MI05,Tim Kelly ,gop,"$71,106",4.084070769,"$71,106",4.514093448,41.8,"150,772",N,N
MI06,Fred Upton ,gop,"$3,616,380",53.71230193,"$3,464,617",52.79027845,55.9,"211,496",Y,Y
MI06,Jon Hoadley ,dem,"$3,116,491",46.28769807,"$3,098,366",47.20972155,40.2,"152,085",N,N
MI07,Tim Walberg ,gop,"$2,301,635",57.33339976,"$1,586,358",48.08314021,58.8,"227,524",Y,Y
MI07,Gretchen Driskell ,dem,"$1,712,840",42.66660024,"$1,712,840",51.91685979,41.2,"159,743",N,N
MI08,Elissa Slotkin ,dem,"$8,967,420",80.96972757,"$7,419,974",77.96461214,50.9,"217,922",Y,Y
MI08,Paul Junge ,gop,"$2,107,608",19.03027243,"$2,097,131",22.03538786,47.3,"202,525",N,N
MI10,Lisa McClain ,gop,"$2,266,287",98.20437877,"$2,137,031",98.10648508,66.3,"271,607",Y,N
MI10,Kimberly Bizon ,dem,"$41,438",1.795621229,"$41,246",1.89351492,33.7,"138,179",N,N
MI11,Haley Stevens ,dem,"$5,776,924",81.64645053,"$5,707,448",81.54712195,50.2,"226,128",Y,Y
MI11,Eric Esshaki ,gop,"$1,298,612",18.35354947,"$1,291,509",18.45287805,47.8,"215,405",N,N
MI12,Debbie Dingell ,dem,"$1,630,498",99.35312233,"$1,689,582",99.43168677,66.4,"254,957",Y,Y
MI12,Jeff Jones ,gop,"$10,616",0.64687767,"$9,657",0.568313227,30.7,"117,719",N,N
MN01,Jim Hagedorn ,gop,"$2,386,033",32.92131666,"$2,305,994",32.16246859,48.6,"179,234",Y,Y
MN01,Daniel Feehan ,dem,"$4,861,651",67.07868334,"$4,863,835",67.83753141,45.6,"167,890",N,N
MN02,Angie Craig ,dem,"$5,380,101",64.27719678,"$4,435,492",60.00773317,48.2,"204,534",Y,Y
MN02,Tyler Kistner ,gop,"$2,990,054",35.72280322,"$2,956,042",39.99226683,46,"194,954",N,N
MN03,Dean Phillips ,dem,"$2,328,616",55.54185133,"$2,152,031",55.1344074,55.6,"246,666",Y,Y
MN03,Kendall Qualls ,gop,"$1,863,927",44.45814867,"$1,751,214",44.8655926,44.4,"196,625",N,N
MN04,Betty McCollum ,dem,"$1,171,748",98.31560559,"$994,072",98.02050393,63.3,"245,813",Y,Y
MN04,Gene Rechtzigel ,gop,"$20,075",1.684394411,"$20,075",1.979496069,29,"112,730",N,N
MN06,Tom Emmer ,gop,"$2,804,265",98.274334,"$2,537,612",98.0975141,65.8,"270,901",Y,Y
MN06,Tawnja Zahradka ,dem,"$49,242",1.725665996,"$49,214",1.902485904,34.2,"140,853",N,N
MN07,Michelle Fischbach ,gop,"$2,618,450",49.10395986,"$2,580,501",47.36534609,53.4,"194,066",Y,N
MN07,Collin Peterson ,dem,"$2,714,012",50.89604014,"$2,867,577",52.63465391,39.9,"144,840",N,Y
MN08,Pete Stauber ,gop,"$2,593,190",62.8835665,"$2,608,759",63.07804314,56.8,"223,432",Y,Y
MN08,Quinn Nystrom ,dem,"$1,530,606",37.1164335,"$1,527,005",36.92195686,37.6,"147,853",N,N
MS01,Trent Kelly ,gop,"$876,882",97.52202882,"$826,673",97.84884127,68.7,"228,787",Y,Y
MS01,Antonia Eliason ,dem,"$22,281",2.47797118,"$18,174",2.151158731,31.3,"104,008",N,N
MO02,Ann Wagner ,gop,"$5,598,287",53.57604648,"$6,513,101",57.41685462,51.9,"233,157",Y,Y
MO02,Jill Schupp ,dem,"$4,850,948",46.42395352,"$4,830,434",42.58314538,45.5,"204,540",N,N
MO04,Vicky Hartzler ,gop,"$1,700,978",81.11823481,"$1,335,607",77.64123265,67.6,"245,247",Y,Y
MO04,Lindsey Simmons ,dem,"$395,934",18.88176519,"$384,622",22.35876735,29.7,"107,635",N,N
MO05,Emanuel Cleaver ,dem,"$1,393,847",94.7979202,"$928,061",92.38583683,58.8,"207,180",Y,Y
MO05,Ryan Derks ,gop,"$76,488",5.202079798,"$76,488",7.614163172,38.6,"135,934",N,N
MO06,Sam Graves ,gop,"$1,959,516",99.48367405,"$1,654,756",99.36767618,67.1,"258,709",Y,Y
MO06,Gena Ross ,dem,"$10,170",0.516325952,"$10,530",0.632323817,30.8,"118,926",N,N
MO08,Jason Smith ,gop,"$1,900,227",86.26984253,"$1,514,786",83.22208933,76.9,"253,811",Y,Y
MO08,Kathryn Ellis ,dem,"$302,428",13.73015747,"$305,387",16.77791067,21.4,"70,561",N,N
MT01,Matt Rosendale ,gop,"$3,674,706",37.20669665,"$3,488,045",35.88401465,56.4,"339,169",Y,N
MT01,Kathleen Williams ,dem,"$6,201,758",62.79330335,"$6,232,286",64.11598535,43.6,"262,340",N,N
NE01,Jeff Fortenberry ,gop,"$1,472,816",56.29331218,"$2,458,330",68.31159354,59.5,"189,006",Y,Y
NE01,Kate Bolz ,dem,"$1,143,509",43.70668782,"$1,140,371",31.68840646,37.7,"119,622",N,N
NE02,Don Bacon ,gop,"$3,749,272",45.92635021,"$3,713,961",45.39203104,50.8,"171,071",Y,Y
NE02,Kara Eastman ,dem,"$4,414,390",54.07364979,"$4,468,006",54.60796896,46.2,"155,706",N,N
NE03,Adrian Smith ,gop,"$1,506,473",99.98307591,"$1,148,409",100,78.5,"225,157",Y,Y
NE03,Mark Elworth Jr ,dem,$255,0.01692409,$0,0,17.7,"50,690",N,N
NV02,Mark Amodei ,gop,"$1,048,056",69.99083089,"$1,016,673",69.34436561,56.5,"216,078",Y,Y
NV02,Patricia Ackerman ,dem,"$449,363",30.00916911,"$449,449",30.65563439,40.7,"155,780",N,N
NV03,Susie Lee ,dem,"$4,748,019",61.79035403,"$4,732,009",61.87877302,48.8,"203,421",Y,Y
NV03,Dan Rodimer ,gop,"$2,936,059",38.20964597,"$2,915,216",38.12122698,45.8,"190,975",N,N
NV04,Steven Horsford ,dem,"$3,492,372",70.47972773,"$3,024,427",68.05898603,50.7,"168,457",Y,Y
NV04,Jim Marchant ,gop,"$1,462,772",29.52027227,"$1,419,405",31.94101397,45.8,"152,284",N,N
NH01,Chris Pappas ,dem,"$3,205,731",65.25069994,"$3,105,663",64.64173437,51.3,"205,606",Y,Y
NH01,Matt Mowers ,gop,"$1,707,214",34.74930006,"$1,698,761",35.35826563,46.2,"185,159",N,N
NJ01,Don Norcross ,dem,"$2,221,989",98.38300401,"$1,087,264",98.03782602,62.5,"240,567",Y,Y
NJ01,Claire Gustafson ,gop,"$36,520",1.616995992,"$21,761",1.962173982,37.5,"144,463",N,N
NJ02,Jeff Van Drew ,gop,"$4,229,171",45.90165981,"$4,041,493",44.80389242,51.9,"195,526",Y,Y
NJ02,Amy Kennedy ,dem,"$4,984,376",54.09834019,"$4,978,913",55.19610758,46.2,"173,849",N,N
NJ03,Andy Kim ,dem,"$7,241,283",83.09033716,"$6,753,262",82.1174113,53.2,"229,840",Y,Y
NJ03,David Richter ,gop,"$1,473,669",16.90966284,"$1,470,648",17.8825887,45.5,"196,327",N,N
NJ05,Josh Gottheimer ,dem,"$7,694,027",79.59837824,"$3,487,964",64.15626922,53.2,"225,175",Y,Y
NJ05,Frank Pallotta ,gop,"$1,972,033",20.40162176,"$1,948,705",35.84373078,45.6,"193,333",N,N
NJ09,Bill Pascrell Jr. ,dem,"$1,560,550",97.24149577,"$1,795,410",98.08384117,65.8,"203,674",Y,Y
NJ09,Billy Prempeh ,gop,"$44,269",2.75850423,"$35,075",1.916158832,31.9,"98,629",N,N
NJ11,Mikie Sherrill ,dem,"$6,419,707",79.18487416,"$3,733,106",68.88485724,53.3,"235,163",Y,Y
NJ11,Rosemary Becchi ,gop,"$1,687,532",20.81512584,"$1,686,236",31.11514276,46.7,"206,013",N,N
NJ12,Bonnie Watson Coleman ,dem,"$798,439",99.61759392,"$840,651",99.86433719,65.6,"230,883",Y,Y
NJ12,Mark Razzoli ,gop,"$3,065",0.382406077,"$1,142",0.135662805,32.6,"114,591",N,N
NM01,Debra Haaland ,dem,"$2,246,734",89.72479541,"$1,875,766",88.42297097,58.2,"186,953",Y,Y
NM01,Michelle Garcia Holmes ,gop,"$257,294",10.27520459,"$245,590",11.57702903,41.8,"134,337",N,N
NM02,Yvette Herrell ,gop,"$2,805,711",25.06655024,"$2,921,785",25.49361522,53.7,"142,283",Y,N
NM02,Xochitl Torres Small ,dem,"$8,387,337",74.93344976,"$8,539,065",74.50638478,46.3,"122,546",N,Y
NM03,Teresa Leger Fernandez ,dem,"$2,296,594",93.97261832,"$2,132,010",93.53739482,58.7,"186,282",Y,N
NM03,Alexis Johnson ,gop,"$147,303",6.027381678,"$147,303",6.46260518,41.3,"131,166",N,N
NY01,Lee Zeldin ,gop,"$8,396,981",51.63172484,"$8,250,116",51.20767412,54.9,"205,715",Y,Y
NY01,Nancy Goroff ,dem,"$7,866,239",48.36827516,"$7,860,977",48.79232588,45.1,"169,294",N,N
NY02,Andrew Garbarino ,gop,"$1,743,986",28.60931841,"$1,612,132",27.11007403,52.9,"177,379",Y,N
NY02,Jackie Gordon ,dem,"$4,351,881",71.39068159,"$4,334,484",72.88992597,46,"154,246",N,N
NY03,Tom Suozzi ,dem,"$2,941,006",81.69713011,"$2,331,302",79.76969356,56,"208,555",Y,Y
NY03,George Devolder-Santos ,gop,"$658,883",18.30286989,"$591,239",20.23030644,43.5,"161,931",N,N
NY04,Kathleen Rice ,dem,"$1,106,258",89.12846088,"$1,210,410",90.23449294,56.1,"199,762",Y,Y
NY04,Douglas Tuman ,gop,"$134,937",10.87153912,"$130,995",9.765507062,43,"153,007",N,N
NY06,Grace Meng ,dem,"$1,292,084",90.64158424,"$1,872,311",93.44785782,68,"158,862",Y,Y
NY06,Thomas Zmich ,gop,"$133,403",9.358415755,"$131,278",6.552142181,32,"74,829",N,N
NY10,Jerrold Nadler ,dem,"$1,848,688",97.36788466,"$1,950,774",98.56585477,74.6,"206,310",Y,Y
NY10,Cathy Bernstein ,gop,"$49,975",2.632115336,"$28,384",1.434145227,24.2,"66,889",N,N
NY11,Nicole Malliotakis ,gop,"$3,469,995",27.20619637,"$3,447,052",26.62578186,53.1,"155,608",Y,N
NY11,Max Rose ,dem,"$9,284,434",72.79380363,"$9,499,242",73.37421814,46.9,"137,198",N,Y
NY13,Adriano Espaillat ,dem,"$1,087,237",96.50423701,"$1,252,740",96.95199532,90.9,"231,841",Y,Y
NY13,Lovelynn Gwinn ,gop,"$39,384",3.495762994,"$39,384",3.048004681,7.8,"19,829",N,N
NY14,Alexandria Ocasio-Cortez ,dem,"$20,664,795",64.97192078,"$16,735,422",60.45339444,71.6,"152,661",Y,Y
NY14,John C. Cummings ,gop,"$11,140,937",35.02807922,"$10,947,758",39.54660556,27.4,"58,440",N,N
NY17,Mondaire Jones ,dem,"$2,984,052",98.19888482,"$2,186,463",97.32549553,59.3,"197,353",Y,N
NY17,Maureen McArdle Schulman ,gop,"$54,732",1.801115183,"$60,084",2.674504473,35.3,"117,307",N,N
NY18,Sean Patrick Maloney ,dem,"$2,556,294",68.30435764,"$1,718,525",59.86538236,55.8,"187,169",Y,Y
NY18,Chele Farley ,gop,"$1,186,211",31.69564236,"$1,152,124",40.13461764,43.3,"145,098",N,N
NY19,Antonio Delgado ,dem,"$5,949,475",97.48010534,"$2,963,286",96.1050249,54.8,"192,100",Y,Y
NY19,Kyle Van De Water ,gop,"$153,796",2.51989466,"$120,097",3.894975097,43.2,"151,475",N,N
NY20,Paul Tonko ,dem,"$1,541,984",80.61245188,"$1,418,994",80.81572399,61.2,"219,705",Y,Y
NY20,Elizabeth Joy ,gop,"$370,852",19.38754812,"$336,845",19.18427601,38.8,"139,446",N,N
NY21,Elise Stefanik ,gop,"$13,287,248",70.39959275,"$11,655,936",67.5737695,58.8,"188,649",Y,Y
NY21,Tedra Cobb ,dem,"$5,586,793",29.60040725,"$5,593,266",32.4262305,41.2,"131,992",N,N
NY22,Claudia Tenney ,gop,"$3,051,777",33.63963956,"$2,725,893",32.07566152,49,"155,348",N,N
NY22,Anthony Brindisi ,dem,"$6,020,190",66.36036044,"$5,772,429",67.92433848,48.9,"154,997",N,Y
NY23,Tom Reed ,gop,"$3,275,177",69.30859577,"$3,145,027",68.20475564,57.7,"181,060",Y,Y
NY23,Tracy Mitrano ,dem,"$1,450,322",30.69140423,"$1,466,128",31.79524436,41.1,"129,014",N,N
NY24,John Katko ,gop,"$3,821,107",54.32666115,"$3,597,234",52.6832436,53.2,"182,668",Y,Y
NY24,Dana Balter ,dem,"$3,212,469",45.67333885,"$3,230,808",47.3167564,43,"147,721",N,N
NY25,Joseph D Morelle ,dem,"$1,375,366",82.02609585,"$1,274,426",82.03721597,59.3,"206,396",Y,Y
NY25,George Mitris ,gop,"$301,376",17.97390415,"$279,047",17.96278403,39.1,"136,198",N,N
NC01,G K Butterfield ,dem,"$1,032,869",41.4599694,"$880,420",37.97819452,54.2,"188,870",Y,Y
NC01,Sandy Smith ,gop,"$1,458,375",58.5400306,"$1,437,805",62.02180548,45.8,"159,748",N,N
NC02,Deborah Ross ,dem,"$2,268,381",94.98903915,"$1,816,923",93.83197735,63,"311,887",Y,N
NC02,Alan Swain ,gop,"$119,664",5.010960849,"$119,435",6.168022649,34.8,"172,544",N,N
NC05,Virginia Foxx ,gop,"$1,858,388",96.79184827,"$1,944,629",96.97461274,66.9,"257,843",Y,Y
NC05,David Wilson Brown ,dem,"$61,596",3.208151735,"$60,668",3.025387262,31.1,"119,846",N,N
NC06,Kathy Manning ,dem,"$2,002,284",96.44160716,"$1,695,596",96.67365665,62.3,"253,531",Y,N
NC06,Lee Haywood ,gop,"$73,878",3.558392842,"$58,342",3.326343349,37.7,"153,598",N,N
NC07,David Rouzer ,gop,"$1,628,458",99.01138067,"$1,038,883",99.60508225,60.3,"272,443",Y,Y
NC07,Christopher Ward ,dem,"$16,260",0.988619326,"$4,119",0.394917747,39.7,"179,045",N,N
NC08,Richard Hudson ,gop,"$4,135,872",51.75264324,"$4,359,009",53.08305478,53.3,"202,774",Y,Y
NC08,Patricia Timmons-Goodson ,dem,"$3,855,743",48.24735676,"$3,852,668",46.91694522,46.7,"177,781",N,N
NC09,Dan Bishop ,gop,"$4,090,260",83.44286638,"$4,029,864",83.53497103,55.6,"224,661",Y,Y
NC09,Cynthia Wallace ,dem,"$811,609",16.55713362,"$794,300",16.46502897,44.4,"179,463",N,N
NC10,Patrick McHenry ,gop,"$2,780,234",98.91293868,"$2,339,363",98.71071489,68.9,"284,095",Y,Y
NC10,David Parker ,dem,"$30,555",1.08706132,"$30,555",1.289285115,31.1,"128,189",N,N
NC11,Madison Cawthorn ,gop,"$4,478,970",66.54851589,"$4,366,783",67.02758782,54.5,"245,351",Y,N
NC11,Moe Davis ,dem,"$2,251,413",33.45148411,"$2,148,121",32.97241218,42.3,"190,609",N,N
NC13,Ted Budd ,gop,"$2,294,174",92.22780389,"$1,293,414",87.19364749,68.2,"267,181",Y,Y
NC13,Scott Huffman ,dem,"$193,334",7.77219611,"$189,967",12.80635251,31.8,"124,684",N,N
